year,month,NPGO
2001,2,2.9560468
2001,3,2.388775
2001,4,2.2039413
2001,5,1.9538953
2001,6,2.349303
2001,7,1.5004872
2001,8,1.9150242
2001,9,1.8929954
2001,10,1.1619115
2001,11,1.7645249
2001,12,2.0194831
2002,1,1.8641573
2002,2,2.1773568
2002,3,1.8982763
2002,4,0.89742216
2002,5,1.102573
2002,6,1.6053913
2002,7,1.3822965
2002,8,0.81184355
2002,9,0.82441109
2002,10,0.82363712
2002,11,1.6592152
2002,12,2.6365472
2003,1,1.9691832
2003,2,0.99256558
2003,3,1.4907114
2003,4,1.1017217
2003,5,0.9192588
2003,6,0.77769152
2003,7,1.2024408
2003,8,0.78228794
2003,9,0.8692253
2003,10,1.286991
2003,11,-0.11436786
2003,12,0.22437689
2004,1,0.26501486
2004,2,0.66722957
2004,3,0.38293237
2004,4,0.12524921
2004,5,0.20735337
2004,6,0.77647507
2004,7,0.41156805
2004,8,0.68538324
2004,9,0.37640228
2004,10,0.042904182
2004,11,-0.44177726
2004,12,-0.98521195
2005,1,-1.6584776
2005,2,-1.4945695
2005,3,-1.4867298
2005,4,-1.6860675
2005,5,-0.79030764
2005,6,-1.2837522
2005,7,-1.6639054
2005,8,-1.1305807
2005,9,-1.5729473
2005,10,-0.88931138
2005,11,-1.6610364
2005,12,-1.2528956
2006,1,-0.64650351
2006,2,-1.0694165
2006,3,-0.7099621
2006,4,-0.56621325
2006,5,-0.12235165
2006,6,-0.12757395
2006,7,-0.49922835
2006,8,-0.36677579
2006,9,-0.33968976
2006,10,-1.0489801
2006,11,-0.99574656
2006,12,-0.15538991
2007,1,-0.41172238
2007,2,-0.13660997
2007,3,-0.54892532
2007,4,0.26061867
2007,5,0.69138409
2007,6,1.2324307
2007,7,1.2289858
2007,8,1.4399075
2007,9,0.90926807
2007,10,1.2687833
2007,11,0.72844103
2007,12,0.45784404
2008,1,0.55573087
2008,2,1.1359497
2008,3,1.3746045
2008,4,1.3959782
2008,5,1.7382507
2008,6,1.2788394
2008,7,1.427494
2008,8,2.1435881
2008,9,2.2272399
2008,10,1.7658829
2008,11,1.9697901
2008,12,0.44929096
2009,1,0.72257515
2009,2,0.90930183
2009,3,0.33125932
2009,4,0.41628769
2009,5,0.5548924
2009,6,0.37008103
2009,7,0.56042698
2009,8,0.71791109
2009,9,0.98406077
2009,10,1.1538724
2009,11,1.0545827
2009,12,1.0631178
2010,1,2.0628159
2010,2,1.838936
2010,3,1.6534425
2010,4,1.1785061
2010,5,1.8660371
2010,6,1.2382194
2010,7,1.14574
2010,8,1.0785591
2010,9,1.00388
2010,10,1.6057858
2010,11,0.98776139
2010,12,0.77934359
2011,1,0.3217816
2011,2,0.55032479
2011,3,1.2027031
2011,4,0.59607204
2011,5,1.3946886
2011,6,1.113308
2011,7,1.0352043
2011,8,1.0362983
2011,9,1.3279155
2011,10,1.2043564
2011,11,0.37422316
2011,12,0.13205331
2012,1,0.83366605
2012,2,0.86268306
2012,3,1.116866
2012,4,1.9261199
2012,5,1.6273782
2012,6,1.9381592
2012,7,1.8603463
2012,8,1.7304645
2012,9,1.3583578
2012,10,1.8664157
2012,11,1.4016486
2012,12,1.2000311
2013,1,1.2306213
2013,2,1.2039313
2013,3,0.64256867
2013,4,0.47624482
2013,5,0.8523294
2013,6,0.72658155
2013,7,0.45131078
2013,8,0.56165662
2013,9,0.38973394
2013,10,-0.14729041
2013,11,-0.804566
2013,12,-1.4515896
2014,1,-0.38970668
2014,2,-0.26691275
2014,3,-0.45373875
2014,4,-0.61755996
2014,5,0.22740888
2014,6,-0.41663029
2014,7,-0.13370798
2014,8,-0.54526098
2014,9,-0.77709383
2014,10,0.42413824
2014,11,0.3108105
2014,12,-0.35602384
2015,1,-0.55092803
2015,2,-1.2735983
2015,3,-1.3956342
2015,4,-1.3788626
2015,5,-0.72003739
2015,6,-1.2495428
2015,7,-1.4741171
2015,8,-1.9279137
2015,9,-2.1044993
2015,10,-1.3069408
2015,11,-2.2538349
2015,12,-1.1060514
2016,1,0.93764621
2016,2,0.22869466
2016,3,0.4720812
2016,4,-0.40044831
2016,5,-0.68217618
2016,6,-0.95813124
2016,7,-0.48700548
2016,8,-0.54382823
2016,9,-0.77354562
2016,10,0.35201682
2016,11,1.159299
2016,12,-1.5408496
2017,1,-0.26678521
2017,2,-0.67098524
2017,3,-0.89466902
2017,4,-0.11361968
2017,5,-0.5071737
2017,6,-0.2239184
2017,7,-0.14672896
2017,8,-0.27865457
2017,9,-0.5009289
2017,10,-1.4277744
2017,11,-2.1840963
2017,12,-2.7983775
2018,1,-1.4996961
2018,2,-2.2272986
2018,3,-2.0300338
2018,4,-2.0587398
2018,5,-1.9208194
2018,6,-1.9370317
2018,7,-1.5672257
2018,8,-2.1215592
2018,9,-2.3241854
2018,10,-2.3412464
2018,11,-1.7704758
2018,12,-1.0929989
2019,1,-0.86369645
2019,2,-2.5614696
2019,3,-1.9918348
2019,4,-2.1645585
2019,5,-1.8566588
2019,6,-2.3540687
2019,7,-2.1607641
2019,8,-2.0553396
2019,9,-2.5195853
2019,10,-2.5765753
2019,11,-3.3712257
2019,12,-2.541592
2020,1,-1.5197624
2020,2,-2.3216707
2020,3,-1.8341727
2020,4,-1.871793
2020,5,-1.3596529
2020,6,-1.7773547
2020,7,-1.8396366
2020,8,-1.2032244
2020,9,-1.2492954
2020,10,-1.4770795
2020,11,-2.8283762
2020,12,-1.8119116
2021,1,-0.53386105
2021,2,-1.2026396
2021,3,-0.7628365
2021,4,-1.885322
2021,5,-0.74003907
2021,6,-0.26423989
2021,7,-0.52265575
2021,8,-0.70653606
2021,9,-0.74114443
2021,10,-0.34314811
2021,11,-0.26495759
2021,12,-2.0844878
2022,1,-1.4073984
